title,director,cast,country,date_added,release_year,listed_in,description,platform
the blue umbrella,['saschka unseld'],['sarah jaffe'],['united states'],"november 12, 2019",2013,"['animation', ' family', ' kids']",two unlikely umbrellas fall eternally in love.,disney_plus
the book of once upon a time,[],['kate mulvany'],[],"november 12, 2019",2014,"['animation', ' anthology', ' kids']",classic disney tales are brought to life in a magical storytelling experience.,disney_plus
the book of pooh,[],"['jim cummings', ' paul tiesler', ' jeff bennett', ' peter cullen', ' stephanie d’abruzzo', ' john fiedler']",['united states'],"november 12, 2019",2000,"['comedy', ' kids']",pooh and friends discover christopher robin’s storybook filled with endearing tales about them!,disney_plus
the brave little toaster goes to mars,['robert ramirez'],"['deanna oliver', ' tim stack', ' roger kabler', ' thurl ravenscroft', ' eric lloyd', ' farrah fawcett']",['united states'],"november 12, 2019",1998,"['action-adventure', ' animation', ' kids']",toaster and his friends head for mars to bring the master's baby home.,disney_plus
the castaway cowboy,['vincent mceveety'],"['james garner', ' vera miles', ' robert culp', ' eric shea', ' elizabeth smith', ' manu tupou']",['united states'],"november 12, 2019",1974,"['action-adventure', ' family', ' western']",a texan castaway helps defend a hawaiian family's land.,disney_plus
the cheetah girls,['oz scott'],"['raven ', ' adrienne bailon', ' kiely williams', ' sabrina bryan', ' juan chioran', ' lori alter']","['canada', ' united states']","november 12, 2019",2003,"['coming of age', ' drama', ' music']",the cheetah girls sing and dance their way toward that elusive record deal.,disney_plus
the cheetah girls 2,['kenny ortega'],"['raven-symoné ', ' adrienne bailon', ' sabrina bryan', ' kiely williams', ' belinda peregrin', ' lori alter']",['united states'],"november 12, 2019",2006,"['coming of age', ' drama', ' music']",the cheetahs go to barcelona to perform in a music festival.,disney_plus
the cheetah girls,['paul hoen'],"['adrienne bailon', ' sabrina bryan', ' kiely williams', ' roshan seth', ' michael steger', ' kunal sharma']",['united states'],"november 12, 2019",2008,"['comedy', ' coming of age', ' music']",the cheetah girls are off to india to land a spot in a bollywood musical.,disney_plus
the christmas star,['alan shapiro'],"['edward asner', ' rené auberjonois', ' jim metzler', ' susan tyrrell', ' karen landry', ' alan north']","['canada', ' united states']","november 12, 2019",1986,"['crime', ' drama', ' family']",a counterfeiter finds the true meaning of christmas.,disney_plus
the chronicles of narnia,['andrew adamson'],"['georgie henley', ' skandar keynes', ' william moseley', ' anna popplewell', ' ben barnes', ' peter dinklage']","['united states', ' poland', ' slovenia', ' czech republic', ' united kingdom']","november 12, 2019",2008,"['action-adventure', ' family', ' fantasy']",the pevensie siblings return to lead the narnians on a remarkable journey.,disney_plus
the chronicles of narnia,['andrew adamson'],"['georgie henley', ' skandar keynes', ' william moseley', ' anna popplewell', ' tilda swinton', ' james mcavoy']","['united kingdom', ' united states']","november 12, 2019",2005,"['action-adventure', ' family', ' fantasy']",four siblings enter a magical land and help its inhabitants defeat a witch.,disney_plus
the color of friendship,['kevin hooks'],"['carl lumbly', ' penny johnson', ' shadia simmons', ' anthony burnett', ' travis davis', ' lindsey haun']","['canada', ' united states']","november 12, 2019",2000,"['biographical', ' drama']",two girls from different backgrounds learn the true color of friendship.,disney_plus
the computer wore tennis shoes,['robert butler'],"['kurt russell', ' cesar romero', ' joe flynn', ' william schallert', ' alan hewitt', ' richard bakalyan']",['united states'],"november 12, 2019",1969,"['comedy', ' crime', ' science fiction']",a student turns genius when he absorbs the knowledge stored in a computer.,disney_plus
the country bears,['peter hastings'],"['christopher walken', ' stephen tobolowsky', ' daryl mitchell', ' m.c. gainey', ' diedrich bader', ' alex rocco']",['united states'],"november 12, 2019",2002,"['comedy', ' music']",the country bears aim to save the venue that made them famous.,disney_plus
the emperor's new groove,['mark dindal'],"['david spade', ' john goodman', ' eartha kitt', ' patrick warburton', ' wendie malick', ' eli linnetz']",['united states'],"november 12, 2019",2000,"['action-adventure', ' animation', ' family']",a selfish emperor learns a lesson in humility when he is turned into a llama.,disney_plus
the even stevens movie,['sean mcnamara'],"['shia labeouf', ' christy romano', ' tom virtue', ' nick spano', ' steven lawrence', ' a.j. trauth']",['united states'],"november 12, 2019",2003,"['action-adventure', ' comedy']",an all-expenses-paid vacation ends up costing the stevens their sanity.,disney_plus
the flood,['brad bestelink'],['angela bassett'],['united states'],"november 12, 2019",2018,"['animals & nature', ' documentary']",the okavango delta in botswana transforms from desert to water wonderland.,disney_plus
the fox and the hound,"['art stevens', ' ted berman', ' richard rich']","['mickey rooney', ' kurt russell', ' pearl bailey', ' jack albertson', ' sandy duncan', ' jeanette nolan']",['united states'],"november 12, 2019",1981,"['action-adventure', ' animation', ' buddy']",a little fox and a hound pup become unlikely friends.,disney_plus
the fox and the hound 2,['jim kammerud'],"['reba mcentire', ' patrick swayze', ' jonah bobo', ' harrison fahn', ' jeff foxworthy', ' vicki lawrence']",['united states'],"november 12, 2019",2006,"['action-adventure', ' animation', ' buddy']",tod and copper's friendship is put to the test.,disney_plus
the game plan,['andy fickman'],"['dwayne johnson', ' kyra sedgwick', ' morris chestnut', ' roselyn sanchez', ' madison pettis', ' gordon clapp']",['united states'],"november 12, 2019",2007,"['comedy', ' family', ' sports']",a superstar quarterback meets the daughter he never knew existed.,disney_plus
the ghosts of buxley hall,['bruce bilson'],"[""dick o'neill"", ' victor french', ' louise latham', ' rad daly', ' monte markham', ' ruta lee']",['united states'],"november 12, 2019",1980,"['comedy', ' family', ' fantasy']",ghosts inhabiting a cash-strapped academy enlist the help of a shy cadet.,disney_plus
the goddess of spring,['wilfred jackson'],[],['united states'],"november 12, 2019",1934,"['animation', ' family', ' fantasy']","the goddess of spring is kidnapped, bringing about the winter season. see details for advisory.",disney_plus
the golden touch,['walt disney'],[],['united states'],"november 12, 2019",1935,"['animation', ' family', ' fantasy']",a fable of a king whose touch turns everything to gold. see details for advisory.,disney_plus
the good dinosaur,['peter sohn'],"['jeffrey wright', ' frances mcdormand', ' maleah padilla', ' ryan teeple', ' jack mcgraw', ' marcus scribner']",['united states'],"november 12, 2019",2015,"['action-adventure', ' animation', ' buddy']",a dinosaur named arlo makes an unlikely friend during his journey home.,disney_plus
the great muppet caper,['jim henson'],"['jim henson', ' frank oz', ' dave goelz', ' jerry nelson', ' richard hunt', ' charles grodin']","['united kingdom', ' united states']","november 12, 2019",1981,"['comedy', ' crime', ' family']",kermit and the gang investigate when miss piggy is framed for burglary.,disney_plus
the greatest game ever played,['bill paxton'],"['shia labeouf', ' stephen dillane', ' peter firth', ' elias koteas', ' stephen marcus', ' josh flitter']","['united states', ' canada']","november 12, 2019",2005,"['biographical', ' sports']","the story of francis ouimet, the first amateur to win the u.s. open.",disney_plus
the haunted mansion,['rob minkoff'],"['eddie murphy', ' terence stamp', ' nathaniel parker', ' marsha thomason', ' jennifer tilly', ' wallace shawn']",['united states'],"november 12, 2019",2003,"['comedy', ' family', ' fantasy']","a family comes face-to-face with 999 grim, grinning ghosts in creepy old gracey manor.",disney_plus
the hockey champ,['jack king'],[],['united states'],"november 12, 2019",1939,"['animation', ' comedy', ' family']",donald and his nephews play hockey. see details for advisory.,disney_plus
the hunchback of notre dame,"['gary trousdale', ' kirk wise']","['tom hulce', ' demi moore', ' tony jay', ' kevin kline', ' paul kandel', ' jason alexander']","['united states', ' france']","november 12, 2019",1996,"['action-adventure', ' animation', ' family']",quasi leaves his tower in notre dame to help a kind and beautiful gypsy.,disney_plus
the hunchback of notre dame ii,['bradley raymond'],"['jason alexander', ' jennifer hewitt', ' tom hulce', ' paul kandel', ' charles kimbrough', ' kevin kline']",['united states'],"november 12, 2019",2002,"['action-adventure', ' animation', ' family']",it's quasimodo's turn to look past appearances when seeking true love.,disney_plus
the imagineering story,[],[],['united states'],"november 12, 2019",2019,"['docuseries', ' historical']",creating happiness takes a strong blend of imagination and engineering - known as imagineering.,disney_plus
the incredible journey,['fletcher markle'],"['émile genest', ' john drainie', ' tommy tweed', ' sandra scott', ' syme jago', ' marion finlayson']","['canada', ' united states']","november 12, 2019",1963,"['action-adventure', ' animals & nature', ' family']",two dogs and a cat traverse the canadian frontier to find their way home.,disney_plus
the incredibles,['brad bird'],"['craig nelson', ' holly hunter', ' samuel jackson', ' jason lee', ' dominique louis', ' teddy newton']",['united states'],"november 12, 2019",2004,"['action-adventure', ' animation', ' family']","a family of supers, forced to adopt civilian lives, returns to action.",disney_plus
the journey of natty gann,['jeremy kagan'],"['meredith salenger', ' john cusack', ' ray wise', ' lainie kazan', ' scatman crothers', ' barry miller']",['united states'],"november 12, 2019",1985,"['action-adventure', ' coming of age', ' drama']",a brave young girl embarks on a cross-country search for her father.,disney_plus
the jungle book 2,['steve trenbirth'],"['john goodman', ' haley osment', ' mae whitman', ' connor funk', ' bob joles', ' tony jay']","['united states', ' australia']","november 12, 2019",2003,"['action-adventure', ' animation', ' kids']",mowgli must decide whether to live in the village or return to the jungle.,disney_plus
the jungle book,['nick marck'],"['brandon baker', ' sherman howard', ' clancy brown', ' peri gilpin', ' wallace shawn', ' stephen tobolowsky']",['united states'],"november 12, 2019",1998,"['action-adventure', ' coming of age', ' family']",mowgli reflects on his childhood jungle adventures.,disney_plus
the legend of mor'du,['brian larsen'],"['julie walters', ' steve purcell', "" callum o'neill""]",['united states'],"november 12, 2019",2012,"['animation', ' family', ' fantasy']",a prince seeks control of a kingdom from his brothers through magic.,disney_plus
the lion king 1 1/2,['bradley raymond'],"['nathan lane', ' ernie sabella', ' julie kavner', ' jerry stiller', ' matthew broderick', ' robert guillaume']","['australia', ' united states']","november 12, 2019",2004,"['action-adventure', ' animation', ' comedy']",timon and pumbaa reveal how they helped simba save the serengeti.,disney_plus
the lion king 2,['darrell rooney'],"['matthew broderick', ' neve campbell', ' andy dick', ' robert guillaume', ' james jones', ' moira kelly']","['united states', ' australia']","november 12, 2019",1998,"['action-adventure', ' animation', ' family']",simba's strong-willed daughter befriends the heir to scar's pride.,disney_plus
